species,host_family,host_genus
Colias_adelaidae,Fabaceae,Astragalus
Colias_aias,Ericaceae,Vaccinium
Colias_alexandra,Fabaceae,Astragalus
Colias_alexandra,Fabaceae,Hedysarum
Colias_alexandra,Fabaceae,Lathyrus
Colias_alexandra,Fabaceae,Lotus
Colias_alexandra,Fabaceae,Lupinus
Colias_alexandra,Fabaceae,Medicago
Colias_alexandra,Fabaceae,Oxytropis
Colias_alexandra,Fabaceae,Thermopsis
Colias_alexandra,Fabaceae,Trifolium
Colias_alexandra,Fabaceae,Vicia
Colias_alfacariensis,Fabaceae,Astragalus
Colias_alfacariensis,Fabaceae,Coronilla
Colias_alfacariensis,Plantaginaceae,Cymbalaria
Colias_alfacariensis,Fabaceae,Dorycnopsis
Colias_alfacariensis,Fabaceae,Hippocrepis
Colias_alfacariensis,Fabaceae,Lotus
Colias_alfacariensis,Fabaceae,Medicago
Colias_alfacariensis,Fabaceae,Securigera
Colias_alfacariensis,Fabaceae,Trifolium
Colias_alpherakii,Fabaceae,Astragalus
Colias_alpherakii,Fabaceae,Onobrychis
Colias_alta,Fabaceae,Astragalus
Colias_arida,Fabaceae,Oxytropis
Colias_aurorina,Fabaceae,Astracantha
Colias_aurorina,Fabaceae,Astragalus
Colias_behrii,Gentianaceae,Gentiana
Colias_behrii,Salicaceae,Salix
Colias_behrii,Ericaceae,Vaccinium
Colias_berylla,Fabaceae,Astragalus
Colias_canadensis,Fabaceae,Astragalus
Colias_canadensis,Fabaceae,Hedysarum
Colias_canadensis,Fabaceae,Lupinus
Colias_caucasica,Fabaceae,Astracantha
Colias_caucasica,Fabaceae,Astragalus
Colias_caucasica,Fabaceae,Chamaecytisus
Colias_caucasica,Fabaceae,Cytisus
Colias_chlorocoma,Fabaceae,Astragalus
Colias_chlorocoma,Fabaceae,Onobrychis
Colias_christina,Fabaceae,Astragalus
Colias_christina,Fabaceae,Hedysarum
Colias_christina,Fabaceae,Lathyrus
Colias_christina,Fabaceae,Lupinus
Colias_christina,Fabaceae,Oxytropis
Colias_christina,Salicaceae,Salix
Colias_christina,Fabaceae,Thermopsis
Colias_christina,Fabaceae,Trifolium
Colias_christina,Fabaceae,Vicia
Colias_christophi,Fabaceae,Astragalus
Colias_christophi,Fabaceae,Oxytropis
Colias_chrysotheme,Fabaceae,Astragalus
Colias_chrysotheme,Fabaceae,Coronilla
Colias_chrysotheme,Fabaceae,Vicia
Colias_cocandica,Boraginaceae,Lappula
Colias_cocandica,Fabaceae,Oxytropis
Colias_croceus,Fabaceae,Acanthyllis
Colias_croceus,Fabaceae,Anthyllis
Colias_croceus,Fabaceae,Astracantha
Colias_croceus,Fabaceae,Astragalus
Colias_croceus,Fabaceae,Chamaecytisus
Colias_croceus,Fabaceae,Colutea
Colias_croceus,Fabaceae,Coronilla
Colias_croceus,Fabaceae,Cytisus
Colias_croceus,Fabaceae,Dorycnium
Colias_croceus,Fabaceae,Dorycnopsis
Colias_croceus,Fabaceae,Erophaca
Colias_croceus,Fabaceae,Hippocrepis
Colias_croceus,Fabaceae,Lotus
Colias_croceus,Fabaceae,Medicago
Colias_croceus,Fabaceae,Melilotus
Colias_croceus,Fabaceae,Onobrychis
Colias_croceus,Fabaceae,Robinia
Colias_croceus,Fabaceae,Securigera
Colias_croceus,Fabaceae,Senna
Colias_croceus,Fabaceae,Tephrosia
Colias_croceus,Fabaceae,Trifolium
Colias_croceus,Fabaceae,Tripodion
Colias_croceus,Fabaceae,Vicia
Colias_dimera,Fabaceae,Trifolium
Colias_electo,Fabaceae,Astragalus
Colias_electo,Fabaceae,Cassia
Colias_electo,Fabaceae,Cytisus
Colias_electo,Fabaceae,Indigofera
Colias_electo,Fabaceae,Medicago
Colias_electo,Fabaceae,Melilotus
Colias_electo,Oxalidaceae,Oxalis
Colias_electo,Fabaceae,Phaseolus
Colias_electo,Euphorbiaceae,Ricinus
Colias_electo,Fabaceae,Robinia
Colias_electo,Fabaceae,Senna
Colias_electo,Fabaceae,Sesbania
Colias_electo,Fabaceae,Trifolium
Colias_electo,Fabaceae,Vicia
Colias_eogene,Fabaceae,Astragalus
Colias_erate,Fabaceae,Alhagi
Colias_erate,Fabaceae,Alysicarpus
Colias_erate,Fabaceae,Astragalus
Colias_erate,Fabaceae,Coronilla
Colias_erate,Fabaceae,Glycine
Colias_erate,Fabaceae,Glycyrrhiza
Colias_erate,Fabaceae,Hedysarum
Colias_erate,Fabaceae,Indigofera
Colias_erate,Fabaceae,Kummerowia
Colias_erate,Fabaceae,Lespedeza
Colias_erate,Fabaceae,Lotus
Colias_erate,Fabaceae,Lupinus
Colias_erate,Fabaceae,Medicago
Colias_erate,Fabaceae,Melilotus
Colias_erate,Fabaceae,Onobrychis
Colias_erate,Fabaceae,Parochetus
Colias_erate,Fabaceae,Pisum
Colias_erate,Fabaceae,Robinia
Colias_erate,Salicaceae,Salix
Colias_erate,Fabaceae,Senna
Colias_erate,Fabaceae,Sesbania
Colias_erate,Fabaceae,Sophora
Colias_erate,Fabaceae,Thermopsis
Colias_erate,Fabaceae,Trifolium
Colias_erate,Fabaceae,Vicia
Colias_erate,Fabaceae,Vigna
Colias_erate,Fabaceae,Wisteria
Colias_erschoffii,Fabaceae,Astragalus
Colias_eurytheme,Fabaceae,Acmispon
Colias_eurytheme,Fabaceae,Arachis
Colias_eurytheme,Fabaceae,Astragalus
Colias_eurytheme,Fabaceae,Baptisia
Colias_eurytheme,Fabaceae,Cassia
Colias_eurytheme,Fabaceae,Coronilla
Colias_eurytheme,Fabaceae,Glycine
Colias_eurytheme,Fabaceae,Glycyrrhiza
Colias_eurytheme,Fabaceae,Hosackia
Colias_eurytheme,Fabaceae,Lathyrus
Colias_eurytheme,Fabaceae,Lespedeza
Colias_eurytheme,Fabaceae,Lotus
Colias_eurytheme,Fabaceae,Lupinus
Colias_eurytheme,Fabaceae,Medicago
Colias_eurytheme,Fabaceae,Melilotus
Colias_eurytheme,Fabaceae,Ottleya
Colias_eurytheme,Fabaceae,Phaseolus
Colias_eurytheme,Fabaceae,Pisum
Colias_eurytheme,Fabaceae,Psoralea
Colias_eurytheme,Fabaceae,Sesbania
Colias_eurytheme,Fabaceae,Syrmatium
Colias_eurytheme,Fabaceae,Thermopsis
Colias_eurytheme,Fabaceae,Trifolium
Colias_eurytheme,Fabaceae,Vicia
Colias_euxanthe,Fabaceae,Astragalus
Colias_euxanthe,Fabaceae,Trifolium
Colias_fieldii,Fabaceae,Gueldenstaedtia
Colias_fieldii,Fabaceae,Indigofera
Colias_fieldii,Fabaceae,Medicago
Colias_fieldii,Fabaceae,Trifolium
Colias_fieldii,Fabaceae,Trigonella
Colias_flaveola,Fabaceae,Astragalus
Colias_flaveola,Fabaceae,Medicago
Colias_grumi,Fabaceae,Astragalus
Colias_harfordii,Fabaceae,Acmispon
Colias_harfordii,Fabaceae,Astragalus
Colias_harfordii,Fabaceae,Lotus
Colias_harfordii,Fabaceae,Syrmatium
Colias_harfordii,Fabaceae,Thermopsis
Colias_hecla,Ericaceae,Arctostaphylos
Colias_hecla,Fabaceae,Astragalus
Colias_hecla,Rosaceae,Dryas
Colias_hecla,Fabaceae,Hedysarum
Colias_hecla,Fabaceae,Lupinus
Colias_hecla,Fabaceae,Medicago
Colias_hecla,Fabaceae,Oxytropis
Colias_hecla,Salicaceae,Salix
Colias_hecla,Fabaceae,Trifolium
Colias_hecla,Ericaceae,Vaccinium
Colias_heos,Fabaceae,Astragalus
Colias_heos,Fabaceae,Glycine
Colias_heos,Fabaceae,Trifolium
Colias_heos,Fabaceae,Vicia
Colias_hyale,Fabaceae,Astragalus
Colias_hyale,Fabaceae,Chamaecytisus
Colias_hyale,Fabaceae,Coronilla
Colias_hyale,Fabaceae,Cytisus
Colias_hyale,Fabaceae,Hippocrepis
Colias_hyale,Fabaceae,Lathyrus
Colias_hyale,Fabaceae,Lotus
Colias_hyale,Fabaceae,Medicago
Colias_hyale,Fabaceae,Melilotus
Colias_hyale,Fabaceae,Onobrychis
Colias_hyale,Fabaceae,Ononis
Colias_hyale,Fabaceae,Securigera
Colias_hyale,Fabaceae,Trifolium
Colias_hyale,Fabaceae,Vicia
Colias_hyperborea,Fabaceae,Astragalus
Colias_hyperborea,Fabaceae,Hedysarum
Colias_hyperborea,Fabaceae,Oxytropis
Colias_interior,Ericaceae,Vaccinium
Colias_ladakensis,Fabaceae,Caragana
Colias_lesbia,Fabaceae,Astragalus
Colias_lesbia,Fabaceae,Glycine
Colias_lesbia,Fabaceae,Lupinus
Colias_lesbia,Fabaceae,Medicago
Colias_lesbia,Fabaceae,Melilotus
Colias_lesbia,Fabaceae,Onobrychis
Colias_lesbia,Fabaceae,Ornithopus
Colias_lesbia,Fabaceae,Trifolium
Colias_lesbia,Fabaceae,Vicia
Colias_marcopolo,Fabaceae,Astragalus
Colias_meadii,Fabaceae,Astragalus
Colias_meadii,Fabaceae,Oxytropis
Colias_meadii,Fabaceae,Trifolium
Colias_meadii,Fabaceae,Vicia
Colias_mossi,Fabaceae,Astragalus
Colias_mossi,Fabaceae,Medicago
Colias_myrmidone,Fabaceae,Chamaecytisus
Colias_myrmidone,Fabaceae,Cytisus
Colias_nastes,Fabaceae,Astragalus
Colias_nastes,Fabaceae,Hedysarum
Colias_nastes,Fabaceae,Lupinus
Colias_nastes,Fabaceae,Oxytropis
Colias_nastes,Salicaceae,Salix
Colias_nastes,Fabaceae,Trifolium
Colias_nebulosa,Fabaceae,Astragalus
Colias_nebulosa,Fabaceae,Caragana
Colias_nilagiriensis,Fabaceae,Parochetus
Colias_nilagiriensis,Fabaceae,Trifolium
Colias_nina,Fabaceae,Caragana
Colias_occidentalis,Fabaceae,Astragalus
Colias_occidentalis,Fabaceae,Hosackia
Colias_occidentalis,Fabaceae,Lathyrus
Colias_occidentalis,Fabaceae,Lupinus
Colias_occidentalis,Fabaceae,Melilotus
Colias_occidentalis,Fabaceae,Oxytropis
Colias_occidentalis,Fabaceae,Senna
Colias_occidentalis,Fabaceae,Thermopsis
Colias_occidentalis,Fabaceae,Trifolium
Colias_occidentalis,Fabaceae,Vicia
Colias_palaeno,Ericaceae,Vaccinium
Colias_pelidne,Ericaceae,Gaultheria
Colias_pelidne,Ericaceae,Vaccinium
Colias_phicomone,Brassicaceae,Arabis
Colias_phicomone,Fabaceae,Astragalus
Colias_phicomone,Brassicaceae,Boechera
Colias_phicomone,Fabaceae,Coronilla
Colias_phicomone,Fabaceae,Hippocrepis
Colias_phicomone,Fabaceae,Lotus
Colias_phicomone,Fabaceae,Medicago
Colias_phicomone,Fabaceae,Oxytropis
Colias_phicomone,Brassicaceae,Sisymbrium
Colias_phicomone,Brassicaceae,Streptanthus
Colias_phicomone,Fabaceae,Trifolium
Colias_phicomone,Brassicaceae,Turritis
Colias_phicomone,Fabaceae,Vicia
Colias_philodice,Fabaceae,Astragalus
Colias_philodice,Fabaceae,Baptisia
Colias_philodice,Fabaceae,Caragana
Colias_philodice,Fabaceae,Cytisus
Colias_philodice,Fabaceae,Glycine
Colias_philodice,Fabaceae,Hedysarum
Colias_philodice,Fabaceae,Lathyrus
Colias_philodice,Fabaceae,Lotus
Colias_philodice,Fabaceae,Lupinus
Colias_philodice,Fabaceae,Medicago
Colias_philodice,Fabaceae,Melilotus
Colias_philodice,Fabaceae,Pisum
Colias_philodice,Fabaceae,Robinia
Colias_philodice,Fabaceae,Thermopsis
Colias_philodice,Fabaceae,Trifolium
Colias_philodice,Fabaceae,Vicia
Colias_poliographus,Fabaceae,Astragalus
Colias_poliographus,Fabaceae,Glycine
Colias_poliographus,Fabaceae,Hedysarum
Colias_poliographus,Fabaceae,Indigofera
Colias_poliographus,Fabaceae,Lotus
Colias_poliographus,Fabaceae,Lupinus
Colias_poliographus,Fabaceae,Medicago
Colias_poliographus,Fabaceae,Melilotus
Colias_poliographus,Fabaceae,Parochetus
Colias_poliographus,Fabaceae,Pisum
Colias_poliographus,Fabaceae,Robinia
Colias_poliographus,Fabaceae,Sesbania
Colias_poliographus,Fabaceae,Trifolium
Colias_poliographus,Fabaceae,Vicia
Colias_sagartia,Plumbaginaceae,Acantholimon
Colias_sagartia,Fabaceae,Astragalus
Colias_scudderii,Salicaceae,Salix
Colias_scudderii,Ericaceae,Vaccinium
Colias_sifanica,Fabaceae,Caragana
Colias_skinneri,Ericaceae,Gaultheria
Colias_skinneri,Ericaceae,Vaccinium
Colias_stoliczkana,Fabaceae,Oxytropis
Colias_tamerlana,Fabaceae,Astragalus
Colias_tamerlana,Fabaceae,Oxytropis
Colias_tamerlana,Ericaceae,Vaccinium
Colias_thisoa,Fabaceae,Astragalus
Colias_thisoa,Fabaceae,Oxytropis
Colias_tyche,Fabaceae,Astragalus
Colias_tyche,Fabaceae,Caragana
Colias_tyche,Fabaceae,Hedysarum
Colias_tyche,Fabaceae,Lupinus
Colias_tyche,Fabaceae,Oxytropis
Colias_tyche,Ericaceae,Vaccinium
Colias_vauthierii,Fabaceae,Adesmia
Colias_vauthierii,Fabaceae,Medicago
Colias_vauthierii,Fabaceae,Trifolium
Colias_wanda,Fabaceae,Oxytropis
Colias_weberbaueri,Fabaceae,Astragalus
Colias_weberbaueri,Fabaceae,Medicago
Colias_wiskotti,Plumbaginaceae,Acantholimon
Colias_wiskotti,Fabaceae,Astragalus
Colias_wiskotti,Fabaceae,Onobrychis
Colias_wiskotti,Fabaceae,Oxytropis
Zerene_cesonia,Fabaceae,Amorpha
Zerene_cesonia,Fabaceae,Trifolium
Zerene_cesonia,Fabaceae,Indigofera
Zerene_cesonia,Fabaceae,Medicago
Zerene_eurydice,Fabaceae,Amorpha
Zerene_eurydice,Fabaceae,Trifolium
Zerene_eurydice,Fabaceae,Dalea