species,elevation
Colias_alexandra_MSF058,1400-2800
Colias_alfacariensis_MSF028,350-2000
Colias_alpherakii_MSF031,2750-3600
Colias_alta_MSF070,2500-3600
Colias_arida_MSF007,3500-4300
Colias_aurorina_MSF059,2000-3000
Colias_behrii_MSF011,3050-3300
Colias_berylla_MSF032,4200-4800
Colias_canadensis_MSF060,700-1700
Colias_caucasica_MSF012,1400-2300
Colias_chlorocoma_MSF013,2000-2600
Colias_christina_MSF014,1500-2000
Colias_christophi_MSF033,3200-3600
Colias_chrysotheme_MSF030,500-3000
Colias_cocandica_MSF034,2500-3900
Colias_croceus_MSF035,200-1400
Colias_croceus2_MSF038,200-1400
Colias_dimera_MSF017,3200-3500
Colias_diva_MSF036,2800-3000
Colias_electo_MSF061,1500-2000
Colias_eogene_MSF037,4000-4700
Colias_erate_MSF010,600-3600
Colias_erate2_MSF078,600-3600
Colias_eurytheme_MSF018,1100-3350
Colias_euxanthe_MSF079,3200-4100
Colias_fieldii_MSF001,2000-4900
Colias_flaveola_MSF062,2780-4000
Colias_grumi_MSF039,3000-4900
Colias_hecla_MSF020,170-1000
Colias_heos_MSF040,430-5000
Colias_hyale_MSF041,0-2000
Colias_hyperborea_MSF063,750-1000
Colias_interior_2_MSF076,100-2800
Colias_interior_MSF016,100-2800
Colias_lada_MSF042,2900-3500
Colias_ladakensis_MSF043,4000-5000
Colias_lesbia_MSF068,2250-4150
Colias_marcopolo_MSF044,4000-4300
Colias_meadii_MSF022,1040-3000
Colias_montium_MSF004,3000-5000
Colias_mossi_MSF064,3200-4050
Colias_myrmidone_MSF065,200-675
Colias_nastes_MSF023,500-2650
Colias_nebulosa_MSF072,2800-5600
Colias_nina_MSF006,4000-4600
Colias_palaeno_MSF002,1000-2000
Colias_pelidne_MSF066,1250-2100
Colias_phicomone_MSF024,900-2500
Colias_philodice_MSF015,200-2550
Colias_poliographus_MSF009,1700-3100
Colias_poliographus2_MSF077,1700-3100
Colias_rankinensis_MSF067,100
Colias_regia_MSF025,2700-3500
Colias_romanovi_MSF071,2750-3500
Colias_scudderii_MSF026,2600-3000
Colias_shafuladi_MSF027,3000-4500
Colias_sieversi_MSF045,2000-3000
Colias_sifanica_MSF008,2500-3000
Colias_skinneri_MSF057,2100-2500
Colias_staudingeri_MSF046,2400-3600
Colias_stoliczkana_MSF047,5000-5800
Colias_tamerlana_MSF048,2000-2800
Colias_thisoa_MSF049,2450-3200
Colias_thrasibulus_MSF050,4500-5100
Colias_tibetana_MSF051,4000-4750
Colias_tyche_MSF052,1000-2300
Colias_tyche2_MSF081,1000-2300
Colias_vauthierii_MSF074,540-730
Colias_viluiensis_MSF055,1800-2900
Colias_wanda_MSF005,3500-3800
Colias_weberbaueri_MSF069,2500-4000
Colias_weberbaueri2_MSF021,2500-4000
Colias_weberbaueri3_MSF019,2500-4000
Colias_wiskotti_MSF053,2500-5000
Zerene_cesonia,750-1750