species,areas
Colias_alexandra_MSF058,C
Colias_alfacariensis_MSF028,F
Colias_alpherakii_MSF031,H
Colias_alta_MSF070,H
Colias_arida_MSF007,G
Colias_aurorina_MSF059,F
Colias_behrii_MSF011,C
Colias_berylla_MSF032,G
Colias_canadensis_MSF060,C
Colias_caucasica_MSF012,F
Colias_chlorocoma_MSF013,F
Colias_christina_MSF014,CD
Colias_christophi_MSF033,H
Colias_chrysotheme_MSF030,EF
Colias_cocandica_MSF034,H
Colias_croceus_MSF035,F
Colias_dimera_MSF017,A
Colias_diva_MSF036,G
Colias_electo_MSF061,J
Colias_eogene_MSF037,GH
Colias_erate_MSF010,EFGH
Colias_eurytheme_MSF018,CD
Colias_euxanthe_MSF079,A
Colias_fieldii_MSF001,EGI
Colias_flaveola_MSF062,A
Colias_grumi_MSF039,G
Colias_hecla_MSF020,CDEF
Colias_heos_MSF040,E
Colias_hyale_MSF041,EFH
Colias_hyperborea_MSF063,DE
Colias_interior_MSF016,CD
Colias_lada_MSF042,G
Colias_ladakensis_MSF043,G
Colias_lesbia_MSF068,AB
Colias_marcopolo_MSF044,H
Colias_meadii_MSF022,C
Colias_montium_MSF004,G
Colias_mossi_MSF064,A
Colias_myrmidone_MSF065,F
Colias_nastes_MSF023,CDE
Colias_nebulosa_MSF072,G
Colias_nina_MSF006,G
Colias_palaeno_MSF002,CDEF
Colias_pelidne_MSF066,CD
Colias_phicomone_MSF024,F
Colias_philodice_MSF015,CD
Colias_poliographus_MSF009,EGI
Colias_rankinensis_MSF067,D
Colias_regia_MSF025,H
Colias_romanovi_MSF071,H
Colias_scudderii_MSF026,C
Colias_shafuladi_MSF027,H
Colias_sieversi_MSF045,H
Colias_sifanica_MSF008,G
Colias_skinneri_MSF057,C
Colias_staudingeri_MSF046,H
Colias_stoliczkana_MSF047,G
Colias_tamerlana_MSF048,E
Colias_thisoa_MSF049,FH
Colias_thrasibulus_MSF050,G
Colias_tibetana_MSF051,G
Colias_tyche_MSF052,CDEF
Colias_vauthierii_MSF074,A
Colias_wanda_MSF005,G
Colias_weberbaueri2_MSF021,A
Colias_wiskotti_MSF053,H